coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Litecoin,64.45,65.1,63.64,424314483,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:56:12,8/20/2023 15:56:49,,,
Ripple,0.538194,0.551415,0.515148,1369872616,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:55:39,8/20/2023 15:56:54,,,
Ripple,0.53848,0.551415,0.515148,1369112870,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:56:39,8/20/2023 15:57:21,,,
Litecoin,64.43,65.1,63.64,423696683,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:57:12,8/20/2023 15:57:45,,,
Ripple,0.538515,0.551415,0.515148,1367826951,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:57:41,8/20/2023 15:58:14,,,
Litecoin,64.45,65.1,63.64,423060974,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:58:14,8/20/2023 15:58:38,,,
Ripple,0.538628,0.551415,0.515148,1368759556,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:58:43,8/20/2023 15:59:05,,,
Ethereum,1669.64,1692.84,1663.28,8461035019,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:59:05,8/20/2023 15:59:54,,,
Litecoin,64.45,65.1,63.64,422225936,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:59:15,8/20/2023 15:59:55,,,
Bitcoin,26077,26248,26024,9380807969,507384136512,0.04181,1,19462981,21000000,8/20/2023 16:00:46,8/20/2023 16:01:11,,,
Litecoin,64.45,65.1,63.64,421472270,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 16:01:18,8/20/2023 16:01:50,,,
Ripple,0.53864,0.551415,0.515148,1362454551,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 16:01:48,8/20/2023 16:02:42,,,
Litecoin,64.44,65.1,63.64,418315892,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:02:19,8/20/2023 16:03:06,,,
Litecoin,64.43,65.1,63.64,417815127,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:03:21,8/20/2023 16:03:31,,,
Litecoin,64.43,65.1,63.64,417815127,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:03:21,8/20/2023 16:04:01,,,
Ripple,0.537689,0.551415,0.515148,1345251123,28459399317,3.36604,5,52841868447,99988501123,8/20/2023 16:03:50,8/20/2023 16:04:28,,,
Ethereum,1669.48,1692.84,1663.28,8324262032,200722725617,-0.61017,2,120211597,120211597,8/20/2023 16:04:00,8/20/2023 16:04:53,,,
Ethereum,1671.78,1692.84,1663.28,8315074234,200722725617,-0.61017,2,120211597,120211597,8/20/2023 16:05:02,8/20/2023 16:05:19,,,
